SMITH	1,742,947	1	73.3	1	2,376,206
JOHNSON	1,143,082	2	61.6	2	1,857,160
MILLER	967,768	3	85.8	6	1,127,803
BROWN	837,886	4	60.7	4	1,380,145
JONES	786,173	5	57.7	5	1,362,755
WILLIAMS	744,317	6	48.5	3	1,534,042
DAVIS	694,122	7	64.7	7	1,072,335
ANDERSON	591,618	8	77.6	12	762,394
WILSON	545,943	9	69.7	10	783,051
MARTIN	521,149	10	77.5	17	672,711
TAYLOR	488,411	11	67.8	13	720,370
MOORE	481,035	12	68.9	16	698,671
THOMPSON	467,038	13	72.5	19	644,368
WHITE	434,295	14	67.9	20	639,515
CLARK	421,367	15	76.8	25	548,369
THOMAS	394,649	16	55.5	14	710,696
HALL	355,697	17	75.1	30	473,568
BAKER	339,279	18	82.1	38	413,351
NELSON	330,984	19	80.3	40	412,236
ALLEN	325,470	20	70.2	32	463,368
YOUNG	321,085	21	68.9	31	465,948
HARRIS	319,800	22	53.9	24	593,542
KING	319,582	23	72.8	35	438,986
ADAMS	314,648	24	76.2	39	413,086
LEWIS	310,904	25	61.0	26	509,930
WALKER	307,051	26	61.3	28	501,307
WRIGHT	300,771	27	68.3	34	440,367
ROBERTS	291,361	28	79.6	45	366,215
CAMPBELL	284,432	29	76.5	43	371,953
JACKSON	279,306	30	41.9	18	666,125
PHILLIPS	277,784	31	79.0	47	351,848
HILL	275,186	32	66.8	41	411,770
SCOTT	262,977	33	62.6	36	420,091
ROBINSON	258,255	34	51.3	27	503,028
MURPHY	255,576	35	85.0	58	300,501
COOK	246,213	36	83.5	60	294,795
GREEN	245,316	37	59.3	37	413,477
LEE	242,889	38	40.1	22	605,860
EVANS	241,790	39	70.6	48	342,237
PETERSON	237,333	40	86.3	63	275,041
MORRIS	236,684	41	75.9	56	311,754
COLLINS	234,953	42	73.9	52	317,848
MITCHELL	233,504	43	63.6	44	367,433
PARKER	231,803	44	71.5	51	324,246
ROGERS	229,046	45	77.8	61	294,403
STEWART	224,599	46	71.8	54	312,899
TURNER	223,787	47	66.7	49	335,663
WOOD	222,717	48	90.1	75	247,299
CARTER	219,378	49	60.5	46	362,548
MORGAN	216,891	50	78.5	62	276,400
COX	214,386	51	84.5	72	253,771
KELLY	209,324	52	80.4	69	260,385
EDWARDS	206,603	53	65.2	53	317,070
BAILEY	198,825	54	74.8	66	265,916
WARD	197,681	55	77.8	71	254,121
REED	196,597	56	73.5	65	267,443
MYERS	194,675	57	86.6	85	224,824
SULLIVAN	192,890	58	89.5	92	215,640
COOPER	190,040	59	70.4	64	270,097
BENNETT	188,853	60	79.0	78	239,055
HUGHES	184,888	61	80.6	83	229,390
LONG	184,047	62	82.3	86	223,494
FISHER	177,875	63	84.6	100	210,279
PRICE	174,106	64	76.1	84	228,756
RUSSELL	171,161	65	79.5	93	215,432
HOWARD	170,269	66	66.8	70	254,779
GRAY	168,374	67	71.1	79	236,713
BELL	168,303	68	63.6	67	264,752
